corruption_type,corruption_level,trial,messages_expected,messages_recovered,recovery_pct,crashed
truncation,95%,1,5,5,100.0,False
truncation,90%,1,5,4,80.0,False
truncation,75%,1,5,3,60.0,False
truncation,60%,1,5,3,60.0,False
truncation,50%,1,5,2,40.0,False
truncation,25%,1,5,1,20.0,False
truncation,10%,1,5,0,0.0,False
random_byte,1%,1,5,0,0.0,False
random_byte,1%,2,5,0,0.0,False
random_byte,1%,3,5,4,80.0,False
random_byte,1%,4,5,5,100.0,False
random_byte,1%,5,5,0,0.0,False
random_byte,1%,6,5,4,80.0,False
random_byte,1%,7,5,5,100.0,False
random_byte,1%,8,5,4,80.0,False
random_byte,1%,9,5,2,40.0,False
random_byte,1%,10,5,2,40.0,False
random_byte,2%,1,5,3,60.0,False
random_byte,2%,2,5,2,40.0,False
random_byte,2%,3,5,4,80.0,False
random_byte,2%,4,5,5,100.0,False
random_byte,2%,5,5,2,40.0,False
random_byte,2%,6,5,3,60.0,False
random_byte,2%,7,5,0,0.0,False
random_byte,2%,8,5,3,60.0,False
random_byte,2%,9,5,0,0.0,False
random_byte,2%,10,5,2,40.0,False
random_byte,3%,1,5,1,20.0,False
random_byte,3%,2,5,0,0.0,False
random_byte,3%,3,5,0,0.0,False
random_byte,3%,4,5,0,0.0,False
random_byte,3%,5,5,1,20.0,False
random_byte,3%,6,5,0,0.0,False
random_byte,3%,7,5,1,20.0,False
random_byte,3%,8,5,2,40.0,False
random_byte,3%,9,5,0,0.0,False
random_byte,3%,10,5,1,20.0,False
random_byte,5%,1,5,0,0.0,False
random_byte,5%,2,5,1,20.0,False
random_byte,5%,3,5,0,0.0,False
random_byte,5%,4,5,0,0.0,False
random_byte,5%,5,5,0,0.0,False
random_byte,5%,6,5,1,20.0,False
random_byte,5%,7,5,0,0.0,False
random_byte,5%,8,5,1,20.0,False
random_byte,5%,9,5,0,0.0,False
random_byte,5%,10,5,0,0.0,False
random_byte,10%,1,5,0,0.0,False
random_byte,10%,2,5,0,0.0,False
random_byte,10%,3,5,0,0.0,False
random_byte,10%,4,5,0,0.0,False
random_byte,10%,5,5,0,0.0,False
random_byte,10%,6,5,0,0.0,False
random_byte,10%,7,5,0,0.0,False
random_byte,10%,8,5,0,0.0,False
random_byte,10%,9,5,0,0.0,False
random_byte,10%,10,5,0,0.0,False
random_byte,20%,1,5,0,0.0,False
random_byte,20%,2,5,0,0.0,False
random_byte,20%,3,5,0,0.0,False
random_byte,20%,4,5,0,0.0,False
random_byte,20%,5,5,0,0.0,False
random_byte,20%,6,5,0,0.0,False
random_byte,20%,7,5,0,0.0,False
random_byte,20%,8,5,0,0.0,False
random_byte,20%,9,5,0,0.0,False
random_byte,20%,10,5,0,0.0,False
zero_fill,pos=10%_block=10%,1,5,0,0.0,False
zero_fill,pos=25%_block=10%,1,5,1,20.0,False
zero_fill,pos=50%_block=10%,1,5,2,40.0,False
zero_fill,pos=75%_block=10%,1,5,4,80.0,False
zero_fill,pos=90%_block=10%,1,5,4,80.0,False
