config_name,platform,case_label,precision,recall,f1,artifacts_recovered,artifacts_expected
full_pipeline,chatgpt,chatgpt_segfault,1.0,1.0,1.0,3,3
full_pipeline,chatgpt,chatgpt_apikeys,1.0,1.0,1.0,2,2
full_pipeline,chatgpt,chatgpt_tls,1.0,1.0,1.0,4,4
full_pipeline,claude,claude_csv_script,1.0,1.0,1.0,1,1
full_pipeline,claude,claude_crypto,1.0,1.0,1.0,1,1
full_pipeline,generic,generic_networking,1.0,1.0,1.0,2,2
full_pipeline,generic,generic_tls,1.0,1.0,1.0,1,1
without_v8,chatgpt,chatgpt_segfault,0.0,0.0,0.0,0,3
without_v8,chatgpt,chatgpt_apikeys,0.0,0.0,0.0,0,2
without_v8,chatgpt,chatgpt_tls,0.0,0.0,0.0,0,4
without_v8,claude,claude_csv_script,1.0,1.0,1.0,1,1
without_v8,claude,claude_crypto,1.0,1.0,1.0,1,1
without_v8,generic,generic_networking,1.0,1.0,1.0,2,2
without_v8,generic,generic_tls,1.0,1.0,1.0,1,1
without_depth,chatgpt,chatgpt_segfault,1.0,1.0,1.0,3,3
without_depth,chatgpt,chatgpt_apikeys,1.0,1.0,1.0,2,2
without_depth,chatgpt,chatgpt_tls,1.0,1.0,1.0,4,4
without_depth,claude,claude_csv_script,1.0,1.0,1.0,1,1
without_depth,claude,claude_crypto,1.0,1.0,1.0,1,1
without_depth,generic,generic_networking,1.0,1.0,1.0,2,2
without_depth,generic,generic_tls,1.0,1.0,1.0,1,1
without_tiptap,chatgpt,chatgpt_segfault,1.0,1.0,1.0,3,3
without_tiptap,chatgpt,chatgpt_apikeys,1.0,1.0,1.0,2,2
without_tiptap,chatgpt,chatgpt_tls,1.0,1.0,1.0,4,4
without_tiptap,claude,claude_csv_script,1.0,1.0,1.0,1,1
without_tiptap,claude,claude_crypto,1.0,1.0,1.0,1,1
without_tiptap,generic,generic_networking,1.0,1.0,1.0,2,2
without_tiptap,generic,generic_tls,1.0,1.0,1.0,1,1
generic_only,chatgpt,chatgpt_segfault,0.0,0.0,0.0,0,3
generic_only,chatgpt,chatgpt_apikeys,0.0,0.0,0.0,0,2
generic_only,chatgpt,chatgpt_tls,0.0,0.0,0.0,0,4
generic_only,claude,claude_csv_script,1.0,1.0,1.0,1,1
generic_only,claude,claude_crypto,1.0,1.0,1.0,1,1
generic_only,generic,generic_networking,1.0,1.0,1.0,2,2
generic_only,generic,generic_tls,1.0,1.0,1.0,1,1
snappy_with,chatgpt,chatgpt_segfault,1.0,1.0,1.0,3,3
snappy_without,chatgpt,chatgpt_segfault,0.0,0.0,0.0,0,3
snappy_with,chatgpt,chatgpt_apikeys,1.0,1.0,1.0,2,2
snappy_without,chatgpt,chatgpt_apikeys,0.0,0.0,0.0,0,2
snappy_with,chatgpt,chatgpt_tls,1.0,1.0,1.0,4,4
snappy_without,chatgpt,chatgpt_tls,1.0,1.0,1.0,4,4
